	Data Name	L*(D50)	a*(D50)	360nm	b*(D50)	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm
590 	[Retrieved Data]1 (5/14/2024 10:49:13 AM)	54.40	64.68	4.64	49.64	4.64	4.64	4.64	4.64	4.49	4.41	4.36	4.32	4.34	4.44	4.58	4.83	5.24	5.81	6.26	6.46	6.55	6.51	6.36	6.75	9.19	16.59	30.95	49.66	67.50	79.94	86.99	90.43	91.81	92.41	92.67	92.83	92.98	92.95	92.95	92.95	92.95	92.95
590 	[Retrieved Data]1 (5/14/2024 10:49:13 AM)	49.89	71.17	1.77	66.63	1.77	1.77	1.77	1.77	1.56	1.44	1.30	1.17	1.12	1.11	1.15	1.28	1.56	2.03	2.36	2.51	2.61	2.57	2.43	2.80	5.19	12.50	26.77	45.37	63.15	75.59	82.63	86.04	87.45	88.04	88.34	88.49	88.63	88.60	88.60	88.60	88.60	88.60
591 	[Retrieved Data]2 (5/14/2024 10:49:13 AM)	58.11	4.54	6.95	22.07	6.95	6.95	6.95	6.95	7.59	10.39	13.21	13.73	13.78	13.64	14.40	16.07	19.48	24.22	26.28	26.61	26.74	25.92	24.36	23.48	23.38	23.62	24.39	26.00	28.72	32.48	37.20	42.26	46.44	50.10	53.46	56.89	60.73	64.98	64.98	64.98	64.98	64.98
591 	[Retrieved Data]2 (5/14/2024 10:49:13 AM)	54.76	5.09	4.06	24.33	4.06	4.06	4.06	4.06	4.69	7.46	10.25	10.73	10.72	10.51	11.21	12.82	16.17	20.87	22.90	23.22	23.34	22.50	20.97	20.12	20.04	20.29	21.06	22.63	25.34	29.07	33.76	38.78	42.91	46.53	49.92	53.34	57.15	61.38	61.38	61.38	61.38	61.38
592 	[Retrieved Data]3 (5/14/2024 10:49:13 AM)	55.14	6.47	6.79	22.71	6.79	6.79	6.79	6.79	7.13	9.07	11.06	11.37	11.44	11.49	12.17	13.68	16.81	21.13	22.85	23.03	23.15	22.41	21.04	20.39	20.51	20.93	21.82	23.47	26.20	29.93	34.66	39.72	43.94	47.63	51.08	54.59	58.54	62.93	62.93	62.93	62.93	62.93
592 	[Retrieved Data]3 (5/14/2024 10:49:13 AM)	51.49	7.28	3.86	25.62	3.86	3.86	3.86	3.86	4.19	6.10	8.05	8.33	8.34	8.32	8.96	10.42	13.51	17.77	19.47	19.63	19.74	18.99	17.67	17.03	17.15	17.59	18.48	20.10	22.83	26.54	31.20	36.24	40.44	44.08	47.53	51.05	54.93	59.33	59.33	59.33	59.33	59.33
593 	[Retrieved Data]4 (5/14/2024 10:49:13 AM)	56.19	4.57	6.59	23.88	6.59	6.59	6.59	6.59	6.98	9.04	11.13	11.47	11.56	11.62	12.39	14.04	17.43	22.18	24.27	24.63	24.79	23.98	22.47	21.63	21.52	21.70	22.41	23.94	26.62	30.33	35.02	40.09	44.30	47.98	51.43	54.93	58.86	63.24	63.24	63.24	63.24	63.24
593 	[Retrieved Data]4 (5/14/2024 10:49:13 AM)	52.67	5.16	3.74	26.77	3.74	3.74	3.74	3.74	4.09	6.11	8.16	8.47	8.51	8.50	9.22	10.80	14.14	18.83	20.92	21.24	21.38	20.60	19.10	18.28	18.19	18.39	19.10	20.60	23.24	26.94	31.60	36.63	40.79	44.47	47.88	51.39	55.30	59.67	59.67	59.67	59.67	59.67
594 	[Retrieved Data]5 (5/14/2024 10:49:13 AM)	58.35	6.44	6.67	25.07	6.67	6.67	6.67	6.67	7.21	9.68	12.16	12.58	12.63	12.56	13.32	14.97	18.38	23.21	25.44	25.93	26.20	25.53	24.15	23.58	23.89	24.54	25.64	27.44	30.27	34.06	38.80	43.83	47.96	51.53	54.83	58.22	61.96	66.11	66.11	66.11	66.11	66.11
594 	[Retrieved Data]5 (5/14/2024 10:49:13 AM)	55.05	7.14	3.81	27.77	3.81	3.81	3.81	3.81	4.34	6.79	9.22	9.61	9.61	9.46	10.17	11.76	15.10	19.90	22.07	22.54	22.82	22.15	20.79	20.24	20.58	21.23	22.30	24.09	26.89	30.70	35.36	40.36	44.45	48.02	51.35	54.69	58.41	62.56	62.56	62.56	62.56	62.56
