	Data Name	L*(D50)	a*(D50)	b*(D50)	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm
     1 	[Retrieved Data]1031 (5/16/2024 11:53:10 PM)	94.55	2.00	5.89	14.56	14.56	14.56	14.56	14.56	27.01	56.61	79.68	86.40	83.66	78.39	78.09	77.53	77.25	80.01	83.38	85.19	85.60	85.72	85.69	85.87	86.68	87.80	88.98	89.97	90.64	91.06	91.51	91.75	92.01	92.21	92.38	92.53	92.73	92.72	92.72	92.72	92.72	92.72
     1 	[Retrieved Data]1031 (5/16/2024 11:53:10 PM)	93.17	2.10	5.42	11.82	11.82	11.82	11.82	11.82	24.24	53.91	77.47	84.53	81.50	75.86	75.56	74.79	74.39	77.07	80.42	82.08	82.42	82.49	82.42	82.66	83.53	84.61	85.69	86.61	87.28	87.71	88.06	88.33	88.60	88.83	88.97	89.17	89.32	89.29	89.29	89.29	89.29	89.29
     2 	[Retrieved Data]1032 (5/16/2024 11:53:10 PM)	93.59	2.25	7.87	14.13	14.13	14.13	14.13	14.13	25.81	53.58	75.02	81.13	78.48	73.58	73.41	73.10	73.32	76.71	80.58	82.70	83.27	83.41	83.31	83.52	84.47	85.76	87.15	88.32	89.14	89.75	90.37	90.78	91.19	91.48	91.74	91.99	92.24	92.32	92.32	92.32	92.32	92.32
     2 	[Retrieved Data]1032 (5/16/2024 11:53:10 PM)	92.18	2.35	7.49	11.39	11.39	11.39	11.39	11.39	23.05	50.86	72.69	79.14	76.23	70.97	70.76	70.25	70.40	73.70	77.55	79.54	80.06	80.16	80.04	80.29	81.25	82.54	83.83	84.92	85.79	86.33	86.91	87.32	87.80	88.06	88.31	88.59	88.83	88.91	88.91	88.91	88.91	88.91
     3 	[Retrieved Data]1033 (5/16/2024 11:53:10 PM)	93.87	1.56	13.02	13.38	13.38	13.38	13.38	13.38	24.14	49.51	68.80	74.20	71.78	67.48	67.68	68.12	69.38	74.16	79.61	82.93	84.01	84.39	84.47	84.83	85.89	87.26	88.69	89.83	90.55	91.03	91.49	91.72	92.03	92.22	92.36	92.54	92.73	92.73	92.73	92.73	92.73	92.73
     3 	[Retrieved Data]1033 (5/16/2024 11:53:10 PM)	92.46	1.64	12.80	10.67	10.67	10.67	10.67	10.67	21.38	46.81	66.46	72.12	69.49	64.83	65.00	65.26	66.43	71.13	76.57	79.77	80.80	81.11	81.20	81.61	82.72	84.06	85.36	86.43	87.18	87.63	88.04	88.29	88.59	88.79	88.94	89.15	89.30	89.29	89.29	89.29	89.29	89.29
     4 	[Retrieved Data]1034 (5/16/2024 11:53:10 PM)	88.22	1.29	17.52	11.87	11.87	11.87	11.87	11.87	19.68	38.60	52.84	56.56	54.83	51.70	52.20	53.40	56.13	62.22	68.14	71.49	72.67	72.68	72.00	71.77	72.39	73.43	74.78	76.26	77.79	79.45	81.30	82.93	84.26	85.30	86.20	87.07	88.03	88.85	88.85	88.85	88.85	88.85
     4 	[Retrieved Data]1034 (5/16/2024 11:53:10 PM)	86.59	1.37	17.55	9.11	9.11	9.11	9.11	9.11	16.90	35.80	50.27	54.15	52.24	48.86	49.31	50.42	53.05	59.07	64.93	68.20	69.33	69.29	68.59	68.40	69.03	70.06	71.38	72.76	74.30	75.94	77.74	79.39	80.71	81.79	82.67	83.56	84.48	85.31	85.31	85.31	85.31	85.31
     5 	[Retrieved Data]1035 (5/16/2024 11:53:10 PM)	78.76	4.60	20.72	9.72	9.72	9.72	9.72	9.72	14.26	26.21	35.62	37.79	36.78	34.68	35.15	36.61	39.88	45.82	50.39	52.74	53.78	53.49	52.38	52.14	53.12	54.66	56.59	58.79	61.37	64.33	67.70	70.88	73.43	75.51	77.29	79.03	80.95	82.88	82.88	82.88	82.88	82.88
     5 	[Retrieved Data]1035 (5/16/2024 11:53:10 PM)	76.73	4.83	21.18	6.87	6.87	6.87	6.87	6.87	11.39	23.32	32.83	35.07	33.97	31.70	32.12	33.48	36.70	42.56	47.09	49.33	50.33	50.06	48.93	48.70	49.71	51.24	53.14	55.26	57.85	60.76	64.08	67.27	69.84	71.92	73.67	75.44	77.34	79.29	79.29	79.29	79.29	79.29
