	Data Name	L*(D50)	a*(D50)	b*(D50)	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm
    95 	[Retrieved Data]1743 (5/14/2024 8:44:11 AM)	95.26	1.74	-3.83	37.92	37.92	37.92	37.92	37.92	61.21	87.82	97.23	98.64	96.22	94.54	93.11	91.35	90.12	89.41	88.22	87.28	87.13	87.58	87.80	87.80	87.92	88.11	88.35	88.48	88.46	88.56	88.95	89.33	89.67	89.62	89.34	89.39	89.76	90.11	90.11	90.11	90.11	90.11
    95 	[Retrieved Data]1743 (5/14/2024 8:44:11 AM)	93.60	1.72	-4.29	33.40	33.40	33.40	33.40	33.40	56.78	83.77	93.72	95.33	92.82	91.23	89.90	88.06	86.87	86.03	84.86	83.77	83.43	83.71	83.78	83.70	83.80	84.00	84.19	84.35	84.48	84.64	85.10	85.54	85.92	85.86	85.56	85.55	85.80	86.06	86.06	86.06	86.06	86.06
    96 	[Retrieved Data]1744 (5/14/2024 8:44:11 AM)	79.50	3.92	18.83	26.37	26.37	26.37	26.37	26.37	34.06	40.09	39.71	37.51	35.20	35.36	37.93	42.30	46.51	49.86	51.17	51.56	51.69	51.53	51.89	54.22	58.05	61.10	62.63	63.47	63.93	63.93	63.17	61.66	60.77	60.94	62.52	65.02	67.90	70.91	70.91	70.91	70.91	70.91
    96 	[Retrieved Data]1744 (5/14/2024 8:44:11 AM)	77.00	4.40	19.80	21.79	21.79	21.79	21.79	21.79	29.50	35.75	35.55	33.42	31.14	31.40	34.01	38.32	42.49	45.76	46.97	47.23	47.29	47.08	47.43	49.80	53.72	56.87	58.45	59.35	59.92	59.92	59.12	57.68	56.76	56.90	58.42	60.86	63.66	66.66	66.66	66.66	66.66	66.66
    97 	[Retrieved Data]1745 (5/14/2024 8:44:11 AM)	46.45	10.87	21.05	6.42	6.42	6.42	6.42	6.42	6.58	6.76	7.16	7.71	8.12	8.23	8.30	8.48	8.77	9.29	10.01	10.90	11.87	12.92	14.09	15.53	17.25	18.91	20.10	20.74	21.02	21.09	21.12	21.14	21.19	21.25	21.40	21.56	21.77	21.96	21.96	21.96	21.96	21.96
    97 	[Retrieved Data]1745 (5/14/2024 8:44:11 AM)	45.67	11.10	21.68	5.86	5.86	5.86	5.86	5.86	6.04	6.25	6.63	7.16	7.57	7.69	7.76	7.93	8.20	8.75	9.46	10.33	11.28	12.36	13.50	14.95	16.69	18.33	19.51	20.14	20.39	20.50	20.53	20.54	20.59	20.64	20.80	20.95	21.12	21.34	21.34	21.34	21.34	21.34
    98 	[Retrieved Data]1746 (5/14/2024 8:44:11 AM)	46.23	10.79	20.83	6.37	6.37	6.37	6.37	6.37	6.56	6.75	7.12	7.68	8.07	8.18	8.25	8.42	8.71	9.22	9.92	10.80	11.76	12.80	13.94	15.36	17.05	18.69	19.86	20.50	20.76	20.83	20.87	20.87	20.94	21.01	21.13	21.27	21.46	21.68	21.68	21.68	21.68	21.68
    98 	[Retrieved Data]1746 (5/14/2024 8:44:11 AM)	45.65	11.09	21.70	5.86	5.86	5.86	5.86	5.86	6.02	6.23	6.63	7.16	7.56	7.67	7.74	7.90	8.21	8.73	9.42	10.32	11.28	12.34	13.50	14.95	16.68	18.31	19.49	20.12	20.38	20.48	20.49	20.51	20.55	20.63	20.76	20.91	21.08	21.29	21.29	21.29	21.29	21.29
    99 	[Retrieved Data]1747 (5/14/2024 8:44:11 AM)	46.46	10.88	21.03	6.41	6.41	6.41	6.41	6.41	6.58	6.79	7.16	7.72	8.14	8.23	8.31	8.48	8.76	9.30	10.02	10.89	11.86	12.93	14.09	15.52	17.26	18.91	20.11	20.75	21.02	21.10	21.12	21.12	21.19	21.25	21.37	21.51	21.72	21.92	21.92	21.92	21.92	21.92
    99 	[Retrieved Data]1747 (5/14/2024 8:44:11 AM)	45.65	11.10	21.70	5.86	5.86	5.86	5.86	5.86	6.03	6.23	6.60	7.16	7.55	7.67	7.74	7.93	8.20	8.72	9.44	10.32	11.28	12.34	13.50	14.93	16.66	18.31	19.48	20.15	20.38	20.48	20.50	20.51	20.58	20.61	20.74	20.86	21.09	21.29	21.29	21.29	21.29	21.29
