	Data Name	L*(D50)	a*(D50)	b*(D50)	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm
     1 	[Retrieved Data]1001 (5/16/2024 10:59:31 PM)	94.57	1.83	6.48	14.70	14.70	14.70	14.70	14.70	27.04	56.19	78.84	85.42	82.68	77.60	77.31	77.01	77.09	80.24	83.65	85.31	85.62	85.72	85.69	85.95	86.78	87.90	89.08	90.07	90.69	91.14	91.57	91.81	92.11	92.28	92.43	92.60	92.78	92.77	92.77	92.77	92.77	92.77
     1 	[Retrieved Data]1001 (5/16/2024 10:59:31 PM)	93.10	1.92	5.99	11.87	11.87	11.87	11.87	11.87	24.20	53.44	76.51	83.39	80.39	74.88	74.58	74.01	74.03	77.12	80.46	82.00	82.22	82.28	82.25	82.53	83.38	84.49	85.58	86.46	87.10	87.53	87.92	88.14	88.44	88.67	88.83	89.03	89.16	89.16	89.16	89.16	89.16	89.16
     2 	[Retrieved Data]1002 (5/16/2024 10:59:31 PM)	93.58	2.14	8.23	14.34	14.34	14.34	14.34	14.34	25.98	53.36	74.41	80.43	77.79	73.03	72.88	72.76	73.42	77.12	80.88	82.71	83.15	83.28	83.20	83.43	84.40	85.70	87.11	88.30	89.15	89.77	90.41	90.82	91.24	91.52	91.77	92.01	92.30	92.38	92.38	92.38	92.38	92.38
     2 	[Retrieved Data]1002 (5/16/2024 10:59:31 PM)	92.06	2.25	7.81	11.52	11.52	11.52	11.52	11.52	23.13	50.56	72.02	78.29	75.37	70.25	70.03	69.78	70.31	73.94	77.65	79.37	79.74	79.79	79.69	79.97	80.96	82.23	83.58	84.69	85.53	86.16	86.71	87.15	87.57	87.87	88.13	88.41	88.66	88.72	88.72	88.72	88.72	88.72
     3 	[Retrieved Data]1003 (5/16/2024 10:59:31 PM)	93.90	1.40	13.41	13.54	13.54	13.54	13.54	13.54	24.26	49.31	68.25	73.55	71.10	66.98	67.21	67.87	69.60	74.80	80.12	83.06	83.96	84.31	84.41	84.84	85.93	87.32	88.75	89.90	90.61	91.07	91.51	91.79	92.07	92.26	92.43	92.60	92.78	92.76	92.76	92.76	92.76	92.76
     3 	[Retrieved Data]1003 (5/16/2024 10:59:31 PM)	92.38	1.49	13.17	10.73	10.73	10.73	10.73	10.73	21.42	46.51	65.77	71.32	68.63	64.16	64.32	64.81	66.46	71.59	76.87	79.69	80.52	80.80	80.90	81.35	82.48	83.85	85.21	86.25	86.99	87.43	87.85	88.08	88.44	88.60	88.78	88.97	89.10	89.11	89.11	89.11	89.11	89.11
     4 	[Retrieved Data]1004 (5/16/2024 10:59:31 PM)	88.16	1.27	17.50	12.52	12.52	12.52	12.52	12.52	20.39	38.92	52.68	56.23	54.43	51.58	52.08	53.41	56.68	63.14	68.62	71.41	72.35	72.28	71.66	71.54	72.19	73.23	74.57	76.06	77.70	79.41	81.31	82.98	84.34	85.36	86.24	87.12	88.05	88.85	88.85	88.85	88.85	88.85
     4 	[Retrieved Data]1004 (5/16/2024 10:59:31 PM)	86.32	1.34	17.50	9.53	9.53	9.53	9.53	9.53	17.36	35.90	49.85	53.54	51.55	48.42	48.86	50.07	53.25	59.61	65.05	67.72	68.60	68.49	67.86	67.75	68.42	69.42	70.69	72.13	73.76	75.45	77.29	78.96	80.32	81.37	82.23	83.11	84.02	84.84	84.84	84.84	84.84	84.84
     5 	[Retrieved Data]1005 (5/16/2024 10:59:31 PM)	78.57	4.88	21.38	11.39	11.39	11.39	11.39	11.39	15.76	26.68	34.89	36.67	35.52	33.85	34.34	35.92	39.75	45.95	50.11	52.11	52.97	52.63	51.79	51.96	53.08	54.54	56.39	58.60	61.32	64.39	67.80	71.03	73.59	75.60	77.36	79.07	80.95	82.82	82.82	82.82	82.82	82.82
     5 	[Retrieved Data]1005 (5/16/2024 10:59:31 PM)	76.16	5.10	21.84	8.28	8.28	8.28	8.28	8.28	12.60	23.49	31.78	33.57	32.29	30.44	30.85	32.30	36.06	42.20	46.32	48.20	49.01	48.60	47.76	47.91	49.02	50.48	52.27	54.41	57.07	60.14	63.50	66.71	69.22	71.28	73.01	74.74	76.56	78.45	78.45	78.45	78.45	78.45
