	Data Name	Target No.	CMC(l:c)(D65)	Judgement	Pseudo Color(D65)	L*(D65)	a*(D65)	b*(D65)	dL*(D65)	da*(D65)	db*(D65)	dE*ab(D65)
     1 	[Retrieved Data]1 (5/13/2024 9:20:54 PM)	3	36.72	------		82.78	-0.99	25.52	-12.60	-2.41	28.87	31.59
     1 	[Retrieved Data]1 (5/13/2024 9:20:54 PM)	3	37.26	------		82.17	-0.99	25.84	-11.67	-2.21	29.51	31.81
     2 	[Retrieved Data]2 (5/13/2024 9:20:54 PM)	3	40.72	------		76.77	2.13	28.19	-18.61	0.71	31.53	36.62
     2 	[Retrieved Data]2 (5/13/2024 9:20:54 PM)	3	42.15	------		75.43	2.19	29.22	-18.42	0.97	32.88	37.70
     3 	[Retrieved Data]3 (5/13/2024 9:20:54 PM)	3	26.48	------		75.37	5.99	14.11	-20.01	4.57	17.45	26.94
     3 	[Retrieved Data]3 (5/13/2024 9:20:54 PM)	3	27.45	------		73.80	6.17	14.54	-20.04	4.95	18.20	27.52
     4 	[Retrieved Data]4 (5/13/2024 9:20:54 PM)	3	48.83	------		68.94	11.61	32.58	-26.44	10.19	35.92	45.75
     4 	[Retrieved Data]4 (5/13/2024 9:20:54 PM)	3	50.79	------		67.47	11.97	34.11	-26.38	10.75	37.77	47.31
     5 	[Retrieved Data]5 (5/13/2024 9:20:54 PM)	3	50.33	------		64.70	12.96	32.53	-30.68	11.54	35.88	48.59
     5 	[Retrieved Data]5 (5/13/2024 9:20:54 PM)	3	52.07	------		63.46	13.31	33.94	-30.39	12.10	37.61	49.84
     6 	[Retrieved Data]6 (5/13/2024 9:20:54 PM)	3	44.97	------		52.25	11.76	22.25	-43.13	10.34	25.59	51.21
     6 	[Retrieved Data]6 (5/13/2024 9:20:54 PM)	3	47.27	------		50.20	12.41	23.98	-43.64	11.19	27.65	52.86
     7 	[Retrieved Data]7 (5/13/2024 9:20:54 PM)	3	34.14	------		73.91	3.96	21.40	-21.47	2.54	24.74	32.86
     7 	[Retrieved Data]7 (5/13/2024 9:20:54 PM)	3	35.10	------		72.74	4.06	22.00	-21.10	2.85	25.66	33.35
     8 	[Retrieved Data]8 (5/13/2024 9:20:54 PM)	3	38.05	------		68.04	6.38	23.05	-27.34	4.96	26.40	38.32
     8 	[Retrieved Data]8 (5/13/2024 9:20:54 PM)	3	38.46	------		67.51	6.46	23.38	-26.33	5.24	27.04	38.10
     9 	[Retrieved Data]9 (5/13/2024 9:20:54 PM)	3	35.27	------		70.30	8.12	20.67	-25.08	6.70	24.02	35.36
     9 	[Retrieved Data]9 (5/13/2024 9:20:54 PM)	3	35.62	------		69.84	8.19	20.92	-24.00	6.98	24.58	35.06
    10 	[Retrieved Data]10 (5/13/2024 9:20:54 PM)	3	36.37	------		65.53	10.14	19.40	-29.85	8.72	22.74	38.53
    10 	[Retrieved Data]10 (5/13/2024 9:20:54 PM)	3	36.60	------		65.14	10.22	19.61	-28.71	9.00	23.28	38.04
    11 	[Retrieved Data]11 (5/13/2024 9:20:54 PM)	3	36.71	------		60.09	8.84	17.63	-35.29	7.42	20.98	41.72
    11 	[Retrieved Data]11 (5/13/2024 9:20:54 PM)	3	37.68	------		58.78	9.09	18.27	-35.07	7.88	21.94	42.11
    12 	[Retrieved Data]12 (5/13/2024 9:20:54 PM)	3	39.96	------		59.55	10.64	20.53	-35.83	9.22	23.87	44.03
    12 	[Retrieved Data]12 (5/13/2024 9:20:54 PM)	3	41.55	------		57.89	11.08	21.63	-35.95	9.86	25.30	45.05
    13 	[Retrieved Data]13 (5/13/2024 9:20:54 PM)	3	41.60	------		61.31	13.26	22.14	-34.07	11.84	25.49	44.16
    13 	[Retrieved Data]13 (5/13/2024 9:20:54 PM)	3	43.42	------		59.51	13.81	23.38	-34.34	12.60	27.04	45.49
    14 	[Retrieved Data]14 (5/13/2024 9:20:54 PM)	3	42.43	------		56.76	12.43	21.32	-38.62	11.02	24.66	47.13
    14 	[Retrieved Data]14 (5/13/2024 9:20:54 PM)	3	43.36	------		55.69	12.73	22.02	-38.16	11.51	25.68	47.41
    15 	[Retrieved Data]15 (5/13/2024 9:20:54 PM)	3	40.42	------		56.02	10.77	19.18	-39.36	9.35	22.52	46.31
    15 	[Retrieved Data]15 (5/13/2024 9:20:54 PM)	3	42.39	------		53.99	11.35	20.54	-39.86	10.13	24.21	47.72
    16 	[Retrieved Data]16 (5/13/2024 9:20:54 PM)	3	44.06	------		55.50	12.82	22.44	-39.88	11.40	25.78	48.84
    16 	[Retrieved Data]16 (5/13/2024 9:20:54 PM)	3	45.42	------		54.18	13.25	23.47	-39.67	12.03	27.14	49.54
    17 	[Retrieved Data]17 (5/13/2024 9:20:54 PM)	3	41.21	------		45.95	7.65	14.29	-49.43	6.23	17.63	52.85
    17 	[Retrieved Data]17 (5/13/2024 9:20:54 PM)	3	42.04	------		44.66	7.94	14.96	-49.19	6.72	18.62	53.02
    18 	[Retrieved Data]18 (5/13/2024 9:20:54 PM)	3	42.23	------		48.15	10.98	16.32	-47.23	9.56	19.67	52.04
    18 	[Retrieved Data]18 (5/13/2024 9:20:54 PM)	3	46.51	------		44.05	12.35	19.24	-49.80	11.13	22.91	55.93
    19 	[Retrieved Data]19 (5/13/2024 9:20:54 PM)	3	47.65	------		54.60	15.35	25.09	-40.78	13.93	28.44	51.63
    19 	[Retrieved Data]19 (5/13/2024 9:20:54 PM)	3	48.86	------		53.59	15.76	26.10	-40.26	14.54	29.77	52.14
    20 	[Retrieved Data]20 (5/13/2024 9:20:54 PM)	3	49.64	------		54.60	18.39	25.88	-40.77	16.97	29.22	52.96
    20 	[Retrieved Data]20 (5/13/2024 9:20:54 PM)	3	52.03	------		52.84	19.21	27.73	-41.00	17.99	31.39	54.69
    21 	[Retrieved Data]21 (5/13/2024 9:20:54 PM)	3	49.40	------		47.31	16.82	22.61	-48.07	15.40	25.95	56.76
    21 	[Retrieved Data]21 (5/13/2024 9:20:54 PM)	3	54.71	------		43.60	18.68	26.68	-50.24	17.47	30.35	61.24
    22 	[Retrieved Data]22 (5/13/2024 9:20:54 PM)	3	43.19	------		46.23	10.37	16.49	-49.15	8.95	19.84	53.76
    22 	[Retrieved Data]22 (5/13/2024 9:20:54 PM)	3	43.14	------		45.94	10.47	16.67	-47.90	9.25	20.34	52.86
    23 	[Retrieved Data]23 (5/13/2024 9:20:54 PM)	3	43.37	------		43.69	11.06	14.29	-51.69	9.64	17.64	55.46
    23 	[Retrieved Data]23 (5/13/2024 9:20:54 PM)	3	43.98	------		42.68	11.37	14.84	-51.16	10.15	18.51	55.34
    24 	[Retrieved Data]24 (5/13/2024 9:20:54 PM)	3	44.98	------		42.64	13.62	14.54	-52.74	12.20	17.88	57.01
    24 	[Retrieved Data]24 (5/13/2024 9:20:54 PM)	3	48.07	------		39.49	15.02	16.55	-54.36	13.80	20.21	59.61
    25 	[Retrieved Data]25 (5/13/2024 9:20:54 PM)	3	44.44	------		40.28	11.24	12.65	-55.10	9.82	15.99	58.20
    25 	[Retrieved Data]25 (5/13/2024 9:20:54 PM)	3	49.08	------		35.39	13.23	15.51	-58.45	12.01	19.17	62.68
    26 	[Retrieved Data]26 (5/13/2024 9:20:54 PM)	3	41.84	------		39.54	7.15	8.53	-55.84	5.73	11.87	57.38
    26 	[Retrieved Data]26 (5/13/2024 9:20:54 PM)	3	42.68	------		37.88	7.51	9.07	-55.97	6.29	12.73	57.74
    27 	[Retrieved Data]27 (5/13/2024 9:20:54 PM)	3	44.13	------		36.27	6.37	9.36	-59.11	4.95	12.71	60.67
    27 	[Retrieved Data]27 (5/13/2024 9:20:54 PM)	3	49.08	------		30.08	8.04	12.12	-63.76	6.82	15.78	66.04
    28 	[Retrieved Data]28 (5/13/2024 9:20:54 PM)	3	44.60	------		34.28	4.00	8.15	-61.10	2.58	11.49	62.22
    28 	[Retrieved Data]28 (5/13/2024 9:20:54 PM)	3	49.73	------		27.65	5.20	11.16	-66.19	3.98	14.83	67.95
    29 	[Retrieved Data]29 (5/13/2024 9:20:54 PM)	3	44.95	------		32.23	3.43	5.53	-63.15	2.01	8.88	63.80
    29 	[Retrieved Data]29 (5/13/2024 9:20:54 PM)	3	48.76	------		26.53	4.39	7.16	-67.32	3.18	10.83	68.26
    30 	[Retrieved Data]30 (5/13/2024 9:20:54 PM)	3	46.57	------		30.01	5.50	5.35	-65.36	4.08	8.70	66.07
    30 	[Retrieved Data]30 (5/13/2024 9:20:54 PM)	3	49.51	------		25.57	6.62	6.71	-68.27	5.40	10.38	69.27
    31 	[Retrieved Data]31 (5/13/2024 9:20:54 PM)	3	47.69	------		29.23	4.48	7.52	-66.15	3.06	10.87	67.11
    31 	[Retrieved Data]31 (5/13/2024 9:20:54 PM)	3	58.88	------		17.24	7.95	15.90	-76.61	6.73	19.56	79.35
    32 	[Retrieved Data]32 (5/13/2024 9:20:54 PM)	3	47.45	------		29.18	6.03	6.20	-66.20	4.61	9.54	67.04
    32 	[Retrieved Data]32 (5/13/2024 9:20:54 PM)	3	57.64	------		17.44	10.44	12.43	-76.40	9.22	16.10	78.62
    33 	[Retrieved Data]33 (5/13/2024 9:20:54 PM)	3	46.92	------		28.39	2.55	3.58	-66.99	1.13	6.93	67.36
    33 	[Retrieved Data]33 (5/13/2024 9:20:54 PM)	3	50.24	------		22.87	3.24	4.41	-70.97	2.02	8.07	71.46
    34 	[Retrieved Data]34 (5/13/2024 9:20:54 PM)	3	46.65	------		28.34	2.42	2.31	-67.04	1.00	5.65	67.29
    34 	[Retrieved Data]34 (5/13/2024 9:20:54 PM)	3	57.18	------		13.22	5.40	5.35	-80.62	4.19	9.02	81.23
    35 	[Retrieved Data]35 (5/13/2024 9:20:54 PM)	3	46.86	------		27.37	0.79	-0.18	-68.01	-0.63	3.17	68.09
    35 	[Retrieved Data]35 (5/13/2024 9:20:54 PM)	3	50.27	------		21.33	1.03	-0.23	-72.52	-0.18	3.43	72.60
    36 	[Retrieved Data]36 (5/13/2024 9:20:54 PM)	3	50.29	------		22.44	0.02	0.18	-72.94	-1.40	3.53	73.04
    36 	[Retrieved Data]36 (5/13/2024 9:20:54 PM)	3	59.36	------		8.01	-0.39	-2.13	-85.84	-1.60	1.54	85.86
    37 	[Retrieved Data]37 (5/13/2024 9:20:54 PM)	3	5.09	------		99.43	-0.10	-0.04	4.05	-1.52	3.30	5.44
    37 	[Retrieved Data]37 (5/13/2024 9:20:54 PM)	3	5.22	------		97.36	-0.09	0.07	3.51	-1.31	3.74	5.30
