	Data Name	Target No.	CMC(l:c)(D50)	Judgement	Pseudo Color(D50)	L*(D50)	a*(D50)	b*(D50)	dL*(D50)	da*(D50)	db*(D50)	dE*ab(D50)
     1 	[Retrieved Data]1 (5/13/2024 9:20:54 PM)	3	36.57	------		83.74	-0.49	25.44	-11.53	-2.24	29.22	31.49
     1 	[Retrieved Data]1 (5/13/2024 9:20:54 PM)	3	37.30	------		83.14	-0.49	25.75	-10.57	-2.10	29.92	31.80
     2 	[Retrieved Data]2 (5/13/2024 9:20:54 PM)	3	40.86	------		77.94	2.51	28.54	-17.34	0.76	32.31	36.67
     2 	[Retrieved Data]2 (5/13/2024 9:20:54 PM)	3	42.39	------		76.62	2.58	29.54	-17.09	0.97	33.71	37.81
     3 	[Retrieved Data]3 (5/13/2024 9:20:54 PM)	3	27.55	------		76.25	5.86	15.28	-19.02	4.11	19.05	27.24
     3 	[Retrieved Data]3 (5/13/2024 9:20:54 PM)	3	28.68	------		74.70	6.02	15.74	-19.01	4.42	19.91	27.88
     4 	[Retrieved Data]4 (5/13/2024 9:20:54 PM)	3	49.90	------		70.55	12.19	34.20	-24.72	10.44	37.98	46.50
     4 	[Retrieved Data]4 (5/13/2024 9:20:54 PM)	3	51.92	------		69.13	12.54	35.74	-24.58	10.93	39.91	48.13
     5 	[Retrieved Data]5 (5/13/2024 9:20:54 PM)	3	51.07	------		66.30	14.01	33.79	-28.97	12.26	37.56	49.00
     5 	[Retrieved Data]5 (5/13/2024 9:20:54 PM)	3	52.84	------		65.10	14.38	35.18	-28.61	12.77	39.35	50.30
     6 	[Retrieved Data]6 (5/13/2024 9:20:54 PM)	3	45.81	------		53.48	12.86	23.67	-41.79	11.11	27.44	51.21
     6 	[Retrieved Data]6 (5/13/2024 9:20:54 PM)	3	48.20	------		51.51	13.52	25.45	-42.20	11.91	29.62	52.92
     7 	[Retrieved Data]7 (5/13/2024 9:20:54 PM)	3	34.63	------		74.91	4.49	21.96	-20.37	2.74	25.73	32.93
     7 	[Retrieved Data]7 (5/13/2024 9:20:54 PM)	3	35.73	------		73.76	4.60	22.55	-19.95	2.99	26.72	33.49
     8 	[Retrieved Data]8 (5/13/2024 9:20:54 PM)	3	38.85	------		69.23	6.44	24.20	-26.04	4.69	27.98	38.51
     8 	[Retrieved Data]8 (5/13/2024 9:20:54 PM)	3	39.42	------		68.72	6.52	24.53	-24.99	4.91	28.71	38.38
     9 	[Retrieved Data]9 (5/13/2024 9:20:54 PM)	3	36.05	------		71.41	8.77	21.63	-23.86	7.02	25.40	35.55
     9 	[Retrieved Data]9 (5/13/2024 9:20:54 PM)	3	36.54	------		70.97	8.85	21.87	-22.74	7.24	26.05	35.33
    10 	[Retrieved Data]10 (5/13/2024 9:20:54 PM)	3	37.43	------		66.67	10.77	20.83	-28.60	9.02	24.60	38.79
    10 	[Retrieved Data]10 (5/13/2024 9:20:54 PM)	3	37.81	------		66.29	10.86	21.05	-27.42	9.25	25.22	38.39
    11 	[Retrieved Data]11 (5/13/2024 9:20:54 PM)	3	37.54	------		61.11	9.55	18.87	-34.16	7.80	22.64	41.72
    11 	[Retrieved Data]11 (5/13/2024 9:20:54 PM)	3	38.64	------		59.82	9.82	19.53	-33.89	8.21	23.71	42.16
    12 	[Retrieved Data]12 (5/13/2024 9:20:54 PM)	3	40.94	------		60.73	11.43	22.00	-34.54	9.68	25.77	44.17
    12 	[Retrieved Data]12 (5/13/2024 9:20:54 PM)	3	42.65	------		59.12	11.88	23.15	-34.59	10.27	27.32	45.26
    13 	[Retrieved Data]13 (5/13/2024 9:20:54 PM)	3	42.90	------		62.63	14.24	23.95	-32.64	12.48	27.72	44.61
    13 	[Retrieved Data]13 (5/13/2024 9:20:54 PM)	3	44.84	------		60.89	14.79	25.25	-32.82	13.18	29.42	46.01
    14 	[Retrieved Data]14 (5/13/2024 9:20:54 PM)	3	43.29	------		58.03	13.31	22.76	-37.25	11.56	26.53	47.17
    14 	[Retrieved Data]14 (5/13/2024 9:20:54 PM)	3	44.32	------		56.99	13.61	23.47	-36.72	12.00	27.65	47.51
    15 	[Retrieved Data]15 (5/13/2024 9:20:54 PM)	3	41.03	------		57.09	12.03	20.09	-38.18	10.28	23.86	46.18
    15 	[Retrieved Data]15 (5/13/2024 9:20:54 PM)	3	43.08	------		55.12	12.64	21.46	-38.59	11.03	25.64	47.62
    16 	[Retrieved Data]16 (5/13/2024 9:20:54 PM)	3	44.78	------		56.76	14.07	23.60	-38.51	12.32	27.37	48.83
    16 	[Retrieved Data]16 (5/13/2024 9:20:54 PM)	3	46.22	------		55.48	14.51	24.64	-38.23	12.90	28.82	49.58
    17 	[Retrieved Data]17 (5/13/2024 9:20:54 PM)	3	41.52	------		46.77	8.44	15.11	-48.50	6.69	18.88	52.47
    17 	[Retrieved Data]17 (5/13/2024 9:20:54 PM)	3	42.45	------		45.51	8.74	15.80	-48.20	7.13	19.97	52.66
    18 	[Retrieved Data]18 (5/13/2024 9:20:54 PM)	3	42.71	------		49.20	11.57	17.57	-46.08	9.82	21.35	51.72
    18 	[Retrieved Data]18 (5/13/2024 9:20:54 PM)	3	47.06	------		45.23	12.94	20.59	-48.48	11.33	24.76	55.61
    19 	[Retrieved Data]19 (5/13/2024 9:20:54 PM)	3	48.76	------		56.06	16.32	26.95	-39.21	14.57	30.72	51.90
    19 	[Retrieved Data]19 (5/13/2024 9:20:54 PM)	3	50.06	------		55.10	16.73	27.99	-38.62	15.12	32.17	52.48
    20 	[Retrieved Data]20 (5/13/2024 9:20:54 PM)	3	50.94	------		56.20	19.36	28.08	-39.07	17.61	31.86	53.40
    20 	[Retrieved Data]20 (5/13/2024 9:20:54 PM)	3	53.38	------		54.51	20.17	30.00	-39.20	18.56	34.17	55.22
    21 	[Retrieved Data]21 (5/13/2024 9:20:54 PM)	3	50.40	------		48.73	17.82	24.58	-46.54	16.06	28.35	56.82
    21 	[Retrieved Data]21 (5/13/2024 9:20:54 PM)	3	55.76	------		45.18	19.64	28.80	-48.53	18.03	32.98	61.38
    22 	[Retrieved Data]22 (5/13/2024 9:20:54 PM)	3	43.63	------		47.22	11.25	17.57	-48.05	9.50	21.34	53.43
    22 	[Retrieved Data]22 (5/13/2024 9:20:54 PM)	3	43.69	------		46.95	11.36	17.75	-46.76	9.75	21.93	52.56
    23 	[Retrieved Data]23 (5/13/2024 9:20:54 PM)	3	43.87	------		44.63	11.96	15.53	-50.64	10.21	19.30	55.15
    23 	[Retrieved Data]23 (5/13/2024 9:20:54 PM)	3	44.57	------		43.65	12.28	16.10	-50.06	10.67	20.28	55.06
    24 	[Retrieved Data]24 (5/13/2024 9:20:54 PM)	3	45.65	------		43.68	14.66	16.12	-51.59	12.91	19.89	56.78
    24 	[Retrieved Data]24 (5/13/2024 9:20:54 PM)	3	48.86	------		40.64	16.07	18.28	-53.08	14.46	22.45	59.42
    25 	[Retrieved Data]25 (5/13/2024 9:20:54 PM)	3	44.84	------		41.22	11.67	14.14	-54.06	9.92	17.91	57.80
    25 	[Retrieved Data]25 (5/13/2024 9:20:54 PM)	3	49.60	------		36.49	13.60	17.26	-57.22	12.00	21.44	62.27
    26 	[Retrieved Data]26 (5/13/2024 9:20:54 PM)	3	42.00	------		40.16	7.58	9.42	-55.12	5.83	13.20	56.97
    26 	[Retrieved Data]26 (5/13/2024 9:20:54 PM)	3	42.92	------		38.53	7.95	10.00	-55.18	6.34	14.18	57.32
    27 	[Retrieved Data]27 (5/13/2024 9:20:54 PM)	3	44.30	------		36.87	6.95	10.19	-58.40	5.20	13.97	60.27
    27 	[Retrieved Data]27 (5/13/2024 9:20:54 PM)	3	49.35	------		30.84	8.66	13.15	-62.88	7.05	17.32	65.60
    28 	[Retrieved Data]28 (5/13/2024 9:20:54 PM)	3	44.68	------		34.77	4.32	8.76	-60.51	2.57	12.53	61.84
    28 	[Retrieved Data]28 (5/13/2024 9:20:54 PM)	3	49.88	------		28.28	5.57	11.91	-65.43	3.96	16.09	67.49
    29 	[Retrieved Data]29 (5/13/2024 9:20:54 PM)	3	44.95	------		32.58	3.87	5.90	-62.70	2.12	9.68	63.47
    29 	[Retrieved Data]29 (5/13/2024 9:20:54 PM)	3	48.80	------		26.97	4.92	7.62	-66.74	3.31	11.79	67.86
    30 	[Retrieved Data]30 (5/13/2024 9:20:54 PM)	3	46.59	------		30.45	5.89	6.03	-64.82	4.14	9.80	65.69
    30 	[Retrieved Data]30 (5/13/2024 9:20:54 PM)	3	49.58	------		26.10	7.05	7.51	-67.61	5.45	11.69	68.83
    31 	[Retrieved Data]31 (5/13/2024 9:20:54 PM)	3	47.75	------		29.71	4.89	8.20	-65.57	3.14	11.97	66.73
    31 	[Retrieved Data]31 (5/13/2024 9:20:54 PM)	3	59.07	------		18.08	8.40	17.00	-75.63	6.79	21.17	78.83
    32 	[Retrieved Data]32 (5/13/2024 9:20:54 PM)	3	47.54	------		29.62	6.90	6.82	-65.66	5.15	10.60	66.70
